travfreq,aircrew,empl,jobsat1,jobsat2,jobsat3,roleover1,roleover2,roleover3,workadj1,workadj2,workadj3,workadj4,workadj5,workadj6,workadj7,workadj8,workadj9,turnover1,turnover2,turnover3,wneglect1,wneglect2,wneglect3,wneglect4,wneglect5,wneglect6,wsitcon1,wsitcon2,wsitcon3,wsitcon4,wrclar1,wrclar2,wrclar3,wrclar4,wrclar5,wrclar6,wtimepres1,wtimepres2,wtimepres3,wtimepres4,wnovel1,wnovel2,wnovel3,wnovel4,wcowinsexphelp 1,wcowinsexphelp 2,wcowinsexphelp 3,wcowinsexphelp 4,wroleconflict 1,wroleconflict 2,wroleconflict 3,wintconflictd 1,wintconflictd 2,wintconflictd 3,wintconflictd 4,wintconflictf 1,wintconflictf 2,wintconflictf 3,wemotdem 1,wemotdem 2,wemotdem 3,wemotdem 4,wemotdem 5,wpeopresp1,wpeopresp2,wpeopresp3,wpeopresp4,wpeopresp5,wallcowexp1,wallcowexp2,wallcowexp3,wallcowexp4,wallcowexp5,wallcowexp6,wallcowexp7,wallcowexp8,wallcowexp9,wallcowexp10,wallcowexp11,wallcowexp12,cowint,cowdep,wteams,wcom,,fsat1,fsat2,fsat3,fneglect1,fneglect2,fneglect3,fneglect4,fneglect5,fneglect6,fadj1,fadj2,fadj3,fadj4,fadj5,fadj6,fadj7,fadj8,fadj9,wfc1,wfc2,wfc3,wfc4,wfc5,ftimepres1,ftimepres2,ftimepres3,ftimepres4,check2,faminstexp1,faminstexp2,faminstexp3,faminstexp4,femotdem1,femotdem2,femotdem3,femotdem4,froleover1,froleover2,froleover3,froleconf1,froleconf2,froleconf3,fintconfd1,fintconfd2,fintconfd3,fintconfd4,fintconff1,fintconff2,fintconff3,famallexp1,famallexp2,famallexp3,famallexp4,famallexp5,famallexp6,famallexp7,famallexp8,famallexp9,famallexp10,famallexp11,famallexp12,burn1,burn2,burn3,burn4,burn5,burn6,burn7,burn8,burn9,burn10,burn11,burn12,burn13,burn14,burn15,burn16,burn17,burn18,burn19,burn20,burn21,supsup1,cowsup1,parsup1,famsup1,supsup2,cowsup2,parsup2,famsup2,supsup3,cowsup3,parsup3,famsup3,supsup4,cowsup4,parsup4,famsup4,cogflex1,cogflex2,cogflex3,cogflex4,cogflex5,cogflex6,cogflex7,cogflex8,cogflex9,cogflex10,cogflex11,cogflex12,houswork,childwork,marstat,children,whours,tenure,position,education,gender,age,industry,otherindustry,nationality,residence,lang,feeltravel,yearstravel,numbertravel,daysknowtravel,meettravel,flytravel,countrytravel,daystrip,reasontrip,otherreasontrip,weekendtrip
3,2,1,4,4,4,3,4,4,5,4,5,3,4,4,3,4,2,2,2,2,3,5,4,3,2,2,2,3,3,2,2,2,3,4,5,4,5,5,5,5,5,5,4,3,5,4,4,4,5,5,5,2,3,4,4,4,4,3,4,3,5,5,5,4,5,6,3,3,2,2,3,2,2,2,3,2,4,2,2,3,6,1,1,1,survey,3,3,4,3,4,2,2,1,2,3,3,4,3,2,2,2,2,3,4,2,4,4,4,4,4,3,5,5,4,5,4,4,2,3,3,4,5,3,4,5,3,4,3,3,3,3,4,3,4,4,5,5,4,2,2,4,4,4,3,4,4,6,5,4,6,6,4,6,6,5,6,5,2,4,5,5,5,2,3,2,2,4,3,2,2,2,3,4,2,3,3,3,2,2,3,3,2,3,4,3,3,4,3,4,4,4,4,4,4,2,10,40,3,2,40,1,4,3,2,33,13,Sales ,German,USA,none,3,1,1,10,2,1,Europe,5,4,,1
3,2,1,4,4,5,4,4,4,5,4,4,5,5,5,4,4,4,4,4,4,5,4,4,4,3,4,4,4,5,4,4,4,5,4,3,4,3,3,5,5,4,4,4,5,5,4,4,4,5,4,4,1,1,2,2,3,2,3,2,4,3,3,4,3,5,4,4,5,4,3,2,3,3,4,4,2,2,4,5,5,15,10,2,1,survey,4,4,4,3,4,3,4,3,3,3,4,4,5,5,4,3,4,5,4,4,4,5,4,4,4,4,5,5,4,5,4,4,3,2,3,3,2,3,4,3,2,4,1,2,2,2,4,4,3,2,4,3,1,3,3,4,3,3,2,3,4,6,1,7,7,6,6,4,4,5,2,4,4,5,2,6,5,7,5,4,5,5,4,4,5,4,3,4,4,4,3,2,4,4,3,4,4,4,4,4,3,3,5,2,3,4,3,3,4,2,5,30,2,2,40,2,2,3,2,26,10,,black,united states,none,2,1,3,14,4,2,"europe, france",4,1,,2
3,2,1,4,3,3,4,4,4,4,4,2,2,4,4,4,4,4,2,3,3,2,3,2,1,1,2,2,3,2,2,4,4,4,3,3,3,3,3,3,4,2,2,3,3,2,4,2,3,3,2,3,2,3,2,3,2,2,2,4,4,4,2,2,5,3,4,5,5,2,3,3,3,3,2,2,2,3,2,3,2,25,25,12,3,survey,4,4,4,2,2,3,2,2,2,3,4,4,4,4,4,4,4,4,4,3,4,2,3,3,2,4,3,5,2,3,3,4,3,2,2,2,4,3,4,2,2,2,2,2,3,2,2,2,2,4,5,4,4,4,4,4,4,5,4,3,4,5,3,6,3,3,6,4,2,2,3,2,2,3,3,2,2,2,2,6,5,3,2,4,1,3,3,5,1,4,2,4,1,3,3,5,1,3,4,2,2,3,2,4,4,4,4,2,4,4,7,40,3,1,50,3,2,4,2,37,7,,American,USA,none,2,3,1,30,5,2,Europe,5,6,Meeting with Collegues,3
3,2,1,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,2,2,2,1,2,2,2,1,3,4,4,3,3,3,2,3,3,4,4,2,2,4,5,5,5,5,3,3,4,1,2,2,2,2,2,2,4,4,4,2,2,1,1,1,5,4,4,5,5,4,4,4,4,4,4,4,4,4,15,10,3,2,survey,5,5,5,1,4,1,2,1,1,5,5,5,5,5,5,5,5,5,4,4,3,3,3,4,4,4,3,5,3,3,3,5,5,1,1,1,2,3,4,1,1,1,1,1,1,1,2,2,2,5,5,5,5,4,5,5,5,5,5,5,5,4,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,6,2,4,2,4,4,4,4,4,4,4,3,5,5,5,5,5,5,4,3,2,5,1,4,5,5,5,2,5,5,10,30,1,3,40,13,2,3,2,43,5,,Chinese,USA,Taiwanese,2,5,1,15,3,2,Ireland,5,2,,1
4,2,1,4,4,4,3,4,3,4,4,4,4,3,3,3,3,4,3,3,3,2,2,2,2,2,2,3,4,3,4,5,4,5,5,4,5,4,4,4,4,4,4,4,4,4,5,4,4,3,2,4,4,4,3,5,4,4,4,4,5,3,2,2,5,5,5,5,5,3,4,4,4,4,4,5,4,4,4,4,4,20,20,3,2,survey,5,5,5,2,2,2,2,2,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,2,2,2,2,2,2,2,2,4,4,4,3,2,2,3,3,3,4,2,2,3,5,5,4,4,4,4,4,4,4,4,4,4,6,5,5,6,5,6,6,4,3,4,2,2,2,2,2,4,2,2,5,5,4,3,3,1,3,3,3,1,3,4,3,1,5,3,3,1,4,4,4,2,5,3,4,4,4,4,3,4,4,30,25,3,2,35,26,2,2,2,53,5,,chinese,china,cantonese,3,15,1,14,5,2,china,14,2,,3
4,2,1,5,5,5,4,3,4,5,5,4,4,5,5,5,5,5,2,3,2,2,1,1,1,1,2,2,4,1,1,4,4,5,4,5,4,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,1,4,2,4,3,3,3,2,2,2,1,1,5,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,1,1,1,survey,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,2,2,4,4,4,2,2,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,3,2,6,2,3,3,4,1,1,2,4,2,2,2,2,2,6,2,3,3,3,3,4,4,5,5,4,4,4,4,3,3,4,4,4,2,2,4,2,4,4,4,4,2,4,4,5,3,1,3,45,5,2,4,2,38,13,computer,usa,usa,spanish,2,1,1,15,3,2,canada,5,5,,1
3,2,1,4,4,5,3,3,2,5,4,4,3,4,3,3,4,4,3,2,3,2,2,1,2,2,1,3,4,2,2,4,3,4,4,5,3,4,2,3,2,3,4,4,2,3,5,5,3,1,2,3,3,2,2,2,2,2,2,4,5,4,2,2,6,6,6,6,6,5,5,4,5,4,4,5,4,5,5,5,5,22,22,2,2,Survey,5,5,5,1,1,1,2,1,1,5,5,5,5,5,5,5,5,4,3,2,2,2,4,3,4,4,3,5,5,5,5,5,5,5,3,3,3,4,2,3,2,4,2,1,1,2,3,2,2,5,5,4,5,5,5,4,4,5,4,4,5,4,4,5,5,5,6,3,3,2,2,1,1,3,2,1,2,1,1,6,6,4,3,5,4,4,4,5,5,5,4,5,5,5,4,4,5,5,4,2,1,4,1,5,2,4,3,4,4,4,14,20,1,2,40,5,2,4,2,41,10,,Asian,Ca,Chinese ,1,15,1,7,7,1,Taiwan,7,2,,2
4,2,1,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,2,2,2,1,1,1,5,2,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,2,4,6,6,6,4,2,3,2,2,3,5,4,5,5,5,5,5,8,5,3,2,survey,5,5,5,3,2,1,1,1,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,5,2,4,2,2,2,1,2,2,1,5,4,1,1,1,1,1,2,1,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,4,2,6,4,3,7,2,1,2,2,1,1,2,1,1,1,1,1,6,5,2,4,4,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,3,1,5,1,5,3,5,5,5,5,5,20,35,1,3,40,9,2,3,1,33,13,Hospitalty,American,United States,none,3,8,3,14,2,3,Japan,3,4,,3
2,2,1,4,4,4,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,2,3,3,3,3,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,0,0,0,survey,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,5,2,1,2,2,2,2,2,2,2,4,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,5,4,4,5,3,3,3,3,3,3,3,3,3,2,2,2,5,5,5,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,2,2,2,2,4,4,4,4,2,4,4,7,0,1,0,40,5,4,1,1,24,5,,american,USA,,3,3,1,7,3,2,canada,4,5,,3
3,2,1,4,4,3,4,4,5,5,4,4,3,4,4,5,4,4,5,4,4,4,5,5,4,5,4,5,4,4,3,4,5,4,5,4,4,4,4,5,4,5,4,4,3,3,5,4,4,4,3,4,2,3,2,2,3,3,3,3,2,3,3,2,3,4,3,3,4,5,4,4,4,5,4,5,4,5,4,4,5,15,5,2,2,survey,5,4,4,4,5,4,4,5,4,4,4,4,4,5,5,5,4,4,5,4,4,4,4,3,2,3,3,5,4,4,3,3,3,4,3,3,3,2,3,2,2,3,3,3,2,3,3,4,4,4,3,3,2,3,3,4,4,3,3,2,3,1,1,1,2,2,7,1,1,1,1,2,2,1,2,1,1,1,1,6,6,1,3,4,3,3,4,4,3,3,3,3,4,4,4,4,3,4,4,4,4,5,4,3,4,3,4,4,4,4,2,4,1,4,45,12,2,4,2,32,7,,American,USA,none,3,6,3,15,5,2,London,15,3,,2
